,Video Title,Video ID,View Count,Duration,Description,Channel Title,Published Date,Trending Until
0,RLAIF  - RL from AI Feedback for Aligning Large Language Models LLMs,RFZvWVQyr2E,45,9:44,"From the authors:
“
Reinforcement learning from human feedback (RLHF) is effective at aligning large language models (LLMs) to human preferences, but gathering high-quality human preference labels is a key bottleneck. We conduct a head-to-head comparison of RLHF vs. RL from AI Feedback (RLAIF) - a technique where preferences are labeled by an off-the-shelf LLM in lieu of humans, and we find that they result in similar improvements. On the task of summarization, human evaluators prefer generations from both RLAIF and RLHF over a baseline supervised fine-tuned model in ∼70% of cases. Furthermore, when asked to rate RLAIF vs. RLHF summaries, humans prefer both at equal rates. These results suggest that RLAIF can yield human-level performance, offering a potential solution to the scalability limitations of RLHF.
“
https://arxiv.org/pdf/2309.00267.pdf
https://huyenchip.com/2023/05/02/rlhf.html 

If you like such content please subscribe to the channel here: 
https://www.youtube.com/c/RitheshSreenivasan?sub_confirmation=1 

If you like to support me financially, It is totally optional and voluntary. Buy me a coffee here: https://www.buymeacoffee.com/rithesh",Rithesh Sreenivasan,2023-09-06T08:10:27Z,2023-09-06T11:45:19Z
1,Unlocking the Power of Large Language Models with Graph of Thoughts: A Game-Changing Framework,7OZhZujxFCo,4,1:55,"The post discusses a paper that introduces a framework called Graph of Thoughts (GoT) which enhances the capabilities of large language models (LLMs) by modeling information as a graph. The authors demonstrate that GoT outperforms existing methods on various tasks and can improve sorting quality while reducing costs. The framework is also extensible and can be used to develop new prompting schemes. A comment provides a link to the code for the paper.

🔗 https://arxiv.org/abs/2308.09687

#AI #Language Model",AI Insight News,2023-09-06T07:04:17Z,2023-09-06T11:45:19Z
2,Beyond Right or Wrong: Leveraging Language Models to Enhance the Learning Process | Rose E. Wang,iNCqfvjQpWA,9,51:42,"Recent advances in natural language processing have stirred excitement about large language models (LLMs) used to provide equitable access to high-quality education. Current education paradigms have a strong focus on the product of learning—e.g., whether the student gets their answer correct. My research challenges those paradigms by leveraging LLMs to focus on the process—e.g., how are students arriving at their answer? I’m interested in using LLMs to understand and support both how teachers teach and how students learn.

In this talk, I will focus on understanding and supporting teachers’ remediation process, i.e., how teachers respond to student mistakes. I will discuss one recent submission which explores the potential of LLMs to assist math tutors in remediating student mistakes. Our work presents ReMath, a benchmark co-developed with experienced math teachers, which provides a comprehensive deconstruction of their thought process for effective remediation. This benchmark encompasses three crucial tasks: (1) inferring the type of student error, (2) determining the appropriate strategy and intention to address the error, and (3) generating a response that incorporates this information. We evaluate the performance of state-of-the-art instruct-tuned and dialog models on ReMath. Our findings suggest that although models consistently improve upon original tutor responses, we cannot rely on models alone to remediate mistakes. Providing models with the error type (e.g., the student is guessing) and strategy (e.g., simplify the problem) leads to a 75% improvement in the response quality over models without that information. Nonetheless, despite the improvement, the quality of the best model’s responses still falls short of experienced math teachers. Our work sheds light on the potential and current limitations of using LLMs to provide high-quality learning experiences for both tutors and students at scale.

This workshop was conducted by Rose Wang, Stanford University


Learn more about WiDS Workshops: widsconference.org/workshops

#stanford #Algorithms #AI #bigdata #algorithmdesign #humanprocesses #python #wids #womenindata",Women in Data Science,2023-09-06T03:33:49Z,2023-09-06T11:45:19Z
3,Running Large Language Models (LLMs) locally and in a browser - mlc.ai or transformers.js,4QokaKepc6k,23,1:37,"Running large language models and transformer models locally in web browsers. Lot's of tools for doing this including mlc.ai, transformers.js, and webgpu.

#largelanguagemodels #rajistics #mlcai #transformersjs #webgpu #browswerai

MLC: https://mlc.ai/mlc-llm/

Backgrond by Andrea De Santis: https://unsplash.com/photos/a-large-group-of-red-and-white-masks-EMvUZHjbxtI
━━━━━━━━━━━━━━━━━━━━━━━━━
★ Rajistics Social Media » 
● Home Page: http://www.rajivshah.com
● LinkedIn: https://www.linkedin.com/in/rajistics/
━━━━━━━━━━━━━━━━━━━━━━━━━","Rajistics - data science, AI, and machine learning",2023-09-06T00:44:04Z,2023-09-06T11:45:19Z
4,Panel discussion on the Reliability of Large Language Models,cQjG6QHzUxw,39,1:13,,EnCORE,2023-09-05T23:33:38Z,2023-09-06T11:45:19Z
5,03: Prompting and Zero-Shot Inference – Large Language Models (NUS CS6101 NUS.WING),MHERkAFzjvE,42,2:32:56,"00:00 Intro
03:00 Projects
18:00 Week 02 Kahoot!
34:45 LECTURE START - What is Prompting? (Esther)
49:25 In Context Learning (Victor)
1:19:20 Zero-Shot, One-Shot and Few-Shot (Richmond)
1:32:00 Chain-of-Thought (Suveen)
1:48:00 Self-Consistency (Lawrence)
2:17:40 ReAct (Warren) 

Slides at http://bit.ly/cs6101-t2310-w03
Scribe Notes at http://bit.ly/cs6101-t2310-w03-scribe
Video at http://bit.ly/cs6101-t2310-w03-yt",Web IR / NLP Group at NUS,2023-09-05T21:37:12Z,2023-09-06T11:45:19Z
6,The Business Impact and Challenges of Using Large Language Models,MuizmSt3RsE,52,37:20,"Summary 
-------
Suhas Pai shares his experience and insights on the business impact of using large language models (LLMs) and the challenges involved in taking prototypes to production. He discusses the impact of LLMs in the business world, the trade-offs in text summarization, challenges in the finance industry, and addresses audience questions. He emphasizes the need for careful consideration of how LLMs can add value to a company's products and services. 

Topics: 
-------
 The Business Impact of LLMs 
  * Success in launching products utilizing GPT-4 
  * Differences between smaller custom models and larger models like GPT-4 
  * Importance of considering how LLMs can add value to a company's products and services 
 Balancing Trade-Offs in Text Summarization 
  * Complexities of text summarization 
  * Trade-offs in achieving effective and accurate summaries 
  * Criteria to consider: relevance, specificity, structure, factuality, coherence, succinctness, and length 
  * Challenges of extracting relevant details while removing redundant information 
  * Need to balance coherence and succinctness 
  * Limitations of language models in addressing trade-offs 
 Challenges and Limitations in the Finance Industry 
  * High threshold of trust in the finance industry 
  * Avoiding hallucinations or mistakes 
  * Difficulties in achieving a balance between different criteria in summarization 
  * Limitations of GPT-4 in domain-specific knowledge and reasoning abilities 
  * Importance of trust and accuracy in the finance industry 
 Q&A and Additional Insights 
  * Interplay between supervised fine-tuning and augmented generation 
  * Importance of evaluating reasoning capabilities in language models 
  * Approaches to address consistency in longer summarizations 
  * Engagement with the foundation model 
  * Challenges of cost and optimization in the summarization process",ML Explained - Aggregate Intellect - AI.SCIENCE,2023-09-05T20:16:01Z,2023-09-06T11:45:19Z
7,"2023-08-31 Using Large Language Models (LLMs) To Write Better Code w/Abigail Haddad, Data Science DC",MoQ9d5PLPDU,4,56:48,"In this session, Benjy Braun, VP of Data Solutions and Innovation, and Abigail Haddad, Lead Data Scientist from Capitol Technology Group will talk about using LLMs to make your code easier to understand and build on. We'll talk briefly about the concept of technical debt, LLMs, and coding with functions rather than procedurally before we take some bad code and improve it with help from LLMs.

To participate, please have the following set up ahead of time:

1. An environment for running notebooks in Python. This can be locally or using an online environment like Google Colab. You will not need a substantial amount of memory.
2. Access to an LLM like GPT-3.5 or GPT-4, Claude 2, or one that you're running locally, like Llama 2 or Code Llama. (The easiest way to get this is to sign up for an account at OpenAI or Anthropic.)

The git repo we'll be using (still in progress) is here: https://github.com/abigailhaddad/gw_talk",GW Coders,2023-09-05T19:07:07Z,2023-09-06T11:45:19Z
8,KDD 2023 - The Large Language Model Revolution: Implications from Chatbots and Tool-use to Reasoning,DHacEPuM4T4,44,1:12:16,"Ed Chi, Google DeepMind

Deep learning is a shock to our field in many ways, yet still many of us were surprised at the incredible performance of Large Language Models (LLMs). LLM uses new deep learning techniques with massively large data sets to understand, predict, summarize, and generate new content. LLMs like ChatGPT and Bard have seen a dramatic increase in their capabilities—generating text that is nearly indistinguishable from human-written text, translating languages with amazing accuracy, and answering your questions in an informative way. This has led to a number of exciting research directions for chatbots, tool-use, and reasoning: 

– Chatbots: LLM chatbots that are more engaging and informative than traditional chatbots. First, LLMs can understand the context of a conversation better than ever before, allowing them to provide more relevant and helpful responses. Second, LLMs enable more engaging conversations than traditional chatbots, because they can understand the nuances of human language and respond in a more natural way. For example, LLMs can make jokes, ask questions, and provide feedback. Finally, because LLM chatbots can hold conversations on a wide range of topics, they can eventually learn and adapt to the user’s individual preferences.",Association for Computing Machinery (ACM),2023-09-05T18:00:11Z,2023-09-06T11:45:19Z
9,"Federated learning for empowering large language models (paper_explanation)   Sep 5, 2023",uB3qpmBkYcs,0,7:49,preprint link: https://easychair.org/publications/preprint/LV6c,SOUMIK DEB NILOY,2023-09-05T17:15:02Z,2023-09-06T11:45:19Z
